seq	start	end	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	featureID	modalTSS
2098985	chr19	4422558	4422770	+	85	203	0.07	213	-34.52	-3.79	0.1	NA	4422562
2099003	chr19	4430495	4430608	+	21	53	0.15	114	4.73	-2.03	0.08	NA	4430543
2099083	chr19	4472198	4472306	+	32	145	0.21	109	6.92	-1.8	0.24	NA	4472239
2099131	chr19	4494168	4494473	+	63	97	0.08	306	-5.21	-3.68	0.05	NA	4494338
2099306	chr19	4639494	4639596	+	36	320	0.29	103	-3	-1.65	0.29	NA	4639526
2099357	chr19	4654748	4654829	+	27	59	0.12	82	3.89	-2.42	0.07	NA	4654789
2099442	chr19	4723246	4723343	+	24	54	0.28	98	-2.67	-1.97	0.13	NA	4723266
2099505	chr19	4791727	4791783	+	25	345	0.38	57	-5.41	-0.6	0.44	NA	4791755
2099651	chr19	4890111	4890113	+	3	83	0.83	3	0.82	1.28	0.55	NA	4890112
2099672	chr19	4909420	4909536	+	45	1637	0.69	117	28.05	0.14	0.66	NA	4909511
2099676	chr19	4910071	4910238	+	86	700	0.16	168	10.49	-2.94	0.23	NA	4910154
2099677	chr19	4910347	4910478	+	27	55	0.2	132	-16.75	-2.14	0.13	NA	4910385
2099680	chr19	4910802	4911026	+	45	74	0.07	225	22.88	-3.25	0.04	NA	4910923
2099747	chr19	4950624	4950759	+	39	168	0.28	136	0.05	-2.13	0.22	NA	4950687
2099748	chr19	4950870	4950976	+	38	137	0.12	107	9.06	-2.63	0.12	NA	4950894
2099755	chr19	4954370	4954473	+	45	100	0.08	104	10.55	-3.18	0.06	NA	4954447
2099779	chr19	4960779	4960939	+	35	126	0.4	161	13.75	-1.82	0.26	NA	4960860
2099804	chr19	4969119	4969221	+	22	401	0.55	103	-43.24	0.1	0.57	NA	4969123
2100125	chr19	5131162	5131265	+	37	154	0.27	104	-21.9	-1.95	0.24	NA	5131194
2100214	chr19	5152740	5152875	+	22	58	0.16	136	-7.67	-2.13	0.07	NA	5152802
2100218	chr19	5153181	5153236	+	27	61	0.13	56	2.25	-2.27	0.1	NA	5153186
2100423	chr19	5336327	5336489	+	27	78	0.14	163	-8.08	-2.26	0.1	NA	5336354
2100427	chr19	5336785	5336827	+	5	60	0.47	43	-17.17	0.51	0.36	NA	5336787
2100654	chr19	5623036	5623390	+	162	3966	0.15	355	-85.27	-2.79	0.35	NA	5623140
2100664	chr19	5626413	5626472	+	22	64	0.17	60	-0.84	-1.99	0.1	NA	5626431
2100691	chr19	5641597	5641648	+	29	252	0.29	52	-1.81	-1.17	0.35	NA	5641605
2100692	chr19	5641733	5641867	+	29	61	0.3	135	6.59	-2.01	0.17	NA	5641861
2100693	chr19	5641895	5641936	+	10	70	0.57	42	1.86	0.04	0.41	NA	5641917
2100719	chr19	5649329	5649427	+	18	70	0.46	99	38.17	-0.82	0.32	NA	5649424
2100737	chr19	5653121	5653166	+	21	108	0.43	46	-4.48	-0.91	0.34	NA	5653134
2100738	chr19	5653201	5653272	+	18	87	0.52	72	3.86	-0.62	0.37	NA	5653251
2100739	chr19	5653349	5653409	+	20	86	0.36	61	-0.16	-1.49	0.19	NA	5653366
2100742	chr19	5654050	5654176	+	33	54	0.09	127	-12.09	-2.74	0.06	NA	5654063
2100764	chr19	5663692	5663692	+	1	60	1	1	0	2	1	NA	5663691
2100768	chr19	5664381	5664451	+	19	60	0.42	71	11.9	-1.3	0.22	NA	5664450
2100783	chr19	5667051	5667156	+	24	62	0.26	106	10.45	-1.9	0.15	NA	5667118
2100785	chr19	5667339	5667441	+	37	93	0.17	103	2.11	-2.7	0.1	NA	5667338
2100791	chr19	5668147	5668370	+	81	371	0.2	224	36.83	-3.12	0.19	NA	5668339
2100830	chr19	5690149	5690438	+	166	37735	0.2	290	4.46	-2.4	0.4	NA	5690304
2100831	chr19	5690466	5690632	+	71	445	0.11	167	-7.69	-3.29	0.14	NA	5690508
2100839	chr19	5691330	5691440	+	82	2471	0.37	111	-2.84	-2.09	0.36	NA	5691373
2100841	chr19	5691541	5691663	+	76	1798	0.13	123	-35.43	-2.53	0.28	NA	5691541
2100844	chr19	5691823	5691849	+	14	57	0.28	27	1.05	-1.29	0.14	NA	5691840
2101031	chr19	5904848	5904891	+	15	78	0.35	44	8.05	-1.02	0.23	NA	5904881
2101098	chr19	5978355	5978485	+	38	152	0.17	131	-16.46	-2.46	0.15	NA	5978392
2101153	chr19	6069134	6069134	+	1	208	1	1	0	2	1	NA	6069133
2101372	chr19	6361436	6361700	+	133	3571	0.16	265	-1.08	-3.09	0.28	NA	6361540
2101373	chr19	6361738	6361889	+	64	544	0.16	152	-13.86	-2.44	0.26	NA	6361800
2101398	chr19	6368845	6368884	+	14	180	0.34	40	-0.76	-0.43	0.36	NA	6368863
2101403	chr19	6372711	6372826	+	70	2299	0.39	116	31.39	-1.62	0.41	NA	6372804
2101515	chr19	6440078	6440085	+	4	99	0.77	8	2.76	0.94	0.47	NA	6440084
2101549	chr19	6458199	6458328	+	28	96	0.24	130	-33.1	-1.79	0.21	NA	6458223
2101693	chr19	6530974	6531127	+	26	5087	0.85	154	-14.65	1.15	0.82	NA	6531035
2101859	chr19	6592716	6592767	+	16	58	0.55	52	1.9	-0.66	0.34	NA	6592745
2101860	chr19	6593309	6593340	+	20	6406	0.78	32	-6.72	0.61	0.68	NA	6593315
2101864	chr19	6594007	6594023	+	10	235	0.37	17	-2.43	-0.21	0.34	NA	6594010
2101940	chr19	6663247	6663378	+	45	84	0.08	132	5.85	-3.14	0.06	NA	6663315
2101941	chr19	6663403	6663486	+	36	89	0.1	84	5.59	-2.7	0.09	NA	6663443
2102026	chr19	6739626	6739797	+	84	1359	0.12	172	7.77	-2.8	0.25	NA	6739722
2102037	chr19	6742965	6743104	+	35	144	0.26	140	-2.62	-1.71	0.28	NA	6743016
2102068	chr19	6751071	6751221	+	36	73	0.1	151	-15.85	-2.87	0.06	NA	6751105
2102118	chr19	6772680	6772949	+	121	1290	0.12	270	-81.05	-3.35	0.23	NA	6772720
2102262	chr19	6843157	6843180	+	4	344	0.94	24	9.4	1.61	0.81	NA	6843177
2102276	chr19	6847977	6848127	+	47	128	0.23	151	-1.16	-2.66	0.16	NA	6848036
2102373	chr19	6926232	6926489	+	126	6207	0.33	258	16.51	-1.97	0.43	NA	6926377
2102452	chr19	6996315	6996316	+	2	60	0.98	2	0.48	1.88	0.88	NA	6996315
2102494	chr19	7069400	7069521	+	29	83	0.25	122	-13.22	-2.02	0.17	NA	7069436
2102496	chr19	7069671	7069802	+	45	330	0.47	132	-16.84	-1.5	0.36	NA	7069717
2102663	chr19	7197449	7197618	+	29	73	0.21	170	2.4	-2.15	0.15	NA	7197511
2102843	chr19	7413990	7414121	+	30	119	0.19	132	1.07	-2.15	0.15	NA	7414061
2102875	chr19	7428265	7428707	+	68	103	0.08	443	6.09	-3.78	0.05	NA	7428435
2102915	chr19	7459983	7460091	+	56	628	0.21	109	1.14	-2.15	0.29	NA	7460036
2103107	chr19	7535374	7535394	+	9	50	0.36	21	0.44	-0.35	0.26	NA	7535385
2103182	chr19	7587483	7587546	+	26	105	0.36	64	-0.97	-1.59	0.24	NA	7587508
2103213	chr19	7600588	7600657	+	31	172	0.22	70	4.38	-1.99	0.19	NA	7600623
2103300	chr19	7623597	7623611	+	5	62	0.85	15	6.29	1.19	0.65	NA	7623610
2103405	chr19	7694566	7694767	+	104	13596	0.16	202	23.2	-2.29	0.36	NA	7694693
2103419	chr19	7696356	7696478	+	34	284	0.25	123	36.54	-1.45	0.32	NA	7696474
2103426	chr19	7701935	7702050	+	60	1547	0.22	116	13.24	-2.09	0.31	NA	7701994
2103505	chr19	7731189	7731204	+	10	78	0.36	16	-0.51	-0.62	0.21	NA	7731198
2103516	chr19	7745676	7745792	+	47	1269	0.37	117	-5.03	-1.31	0.4	NA	7745722
2103541	chr19	7753818	7753851	+	20	84	0.15	34	3.52	-1.85	0.11	NA	7753841
2103622	chr19	7805509	7805534	+	12	212	0.53	26	11.59	0.33	0.54	NA	7805533
2103631	chr19	7815673	7815699	+	7	136	0.33	27	2.71	-0.21	0.21	NA	7815695
2103632	chr19	7815744	7815780	+	8	322	0.52	37	-16.82	0.69	0.56	NA	7815744
2103682	chr19	7895067	7895186	+	24	93	0.37	120	-21.58	-1.57	0.22	NA	7895105
2103794	chr19	7968646	7968826	+	40	295	0.49	181	23.73	-1.04	0.43	NA	7968760
2103846	chr19	7978004	7978124	+	25	71	0.13	121	-28.18	-2.2	0.1	NA	7978048
2103848	chr19	7978295	7978432	+	43	67	0.09	138	3.46	-3.14	0.05	NA	7978345
2103868	chr19	7985187	7985289	+	40	244	0.25	103	-16.64	-2.2	0.21	NA	7985224
2103875	chr19	7985828	7985971	+	70	763	0.27	144	0.76	-2.32	0.3	NA	7985900
2103897	chr19	7988010	7988023	+	8	89	0.65	14	0.67	0.32	0.44	NA	7988016
2103980	chr19	8070639	8070706	+	24	84	0.17	68	13.62	-2.02	0.12	NA	8070695
2104046	chr19	8117164	8117234	+	19	51	0.16	71	9.2	-1.94	0.07	NA	8117212
2104176	chr19	8274182	8274355	+	39	623	0.7	174	-15.63	-0.1	0.6	NA	8274252
2104178	chr19	8274484	8274548	+	21	73	0.25	65	4.4	-1.39	0.23	NA	8274528
2104179	chr19	8274577	8274754	+	30	63	0.22	178	17.48	-2.15	0.15	NA	8274703
2104181	chr19	8274888	8275084	+	39	51	0.06	197	14.35	-3.17	0.02	NA	8275044
2104362	chr19	8313213	8313427	+	39	65	0.09	215	5.43	-3	0.05	NA	8313354
2104366	chr19	8313719	8313844	+	30	64	0.22	126	-8.42	-2.33	0.12	NA	8313764
2104510	chr19	8386331	8386420	+	27	2139	0.91	90	7.87	1.23	0.84	NA	8386382
2104513	chr19	8386836	8386951	+	32	274	0.21	116	24.31	-1.7	0.26	NA	8386948
2104516	chr19	8387152	8387166	+	6	66	0.5	15	4.24	0.04	0.24	NA	8387162
2104577	chr19	8455050	8455319	+	111	4356	0.31	270	66.58	-2.4	0.35	NA	8455245
2104638	chr19	8478147	8478207	+	19	128	0.44	61	9.12	-1.03	0.29	NA	8478187
2104682	chr19	8509719	8509996	+	150	19316	0.36	278	6	-1.24	0.55	NA	8509857
2104709	chr19	8520282	8520390	+	43	385	0.18	109	-30.29	-2.17	0.23	NA	8520286
2104754	chr19	8527408	8527466	+	21	59	0.15	59	-12.14	-1.87	0.12	NA	8527414
2104766	chr19	8528477	8528548	+	18	66	0.32	72	9.88	-1.3	0.21	NA	8528546
2104777	chr19	8531118	8531233	+	32	75	0.15	116	-3.74	-2.43	0.11	NA	8531151
2104797	chr19	8536212	8536312	+	33	222	0.2	101	-4.97	-2.15	0.18	NA	8536248
2104810	chr19	8539037	8539129	+	37	86	0.12	93	-14.27	-2.79	0.08	NA	8539073
2104890	chr19	8553582	8553775	+	58	162	0.14	194	-2.05	-3.11	0.13	NA	8553700
2104893	chr19	8553881	8553974	+	18	76	0.46	94	-23.59	-0.79	0.33	NA	8553886
2105191	chr19	9130623	9130635	+	7	245	0.92	13	5.7	1.45	0.81	NA	9130634
2105269	chr19	9251039	9251119	+	42	534	0.48	81	-2.52	-1.02	0.44	NA	9251071
2105342	chr19	9272864	9272867	+	4	66	0.8	4	-0.47	1.03	0.51	NA	9272864
2105382	chr19	9336134	9336134	+	1	103	1	1	0	2	1	NA	9336133
2105426	chr19	9434838	9434992	+	45	139	0.16	155	-9.12	-2.84	0.12	NA	9434853
2105644	chr19	9732137	9732345	+	67	256	0.12	209	-43.97	-3.11	0.16	NA	9732191
2105849	chr19	9885152	9885169	+	8	96	0.41	18	3.19	-0.16	0.28	NA	9885162
2105904	chr19	9938545	9938641	+	62	1836	0.23	97	0.73	-2.07	0.32	NA	9938596
2105917	chr19	9940639	9940758	+	23	107	0.27	120	-5.14	-1.42	0.24	NA	9940656
2105925	chr19	9945925	9946056	+	81	12931	0.33	132	12.5	-1.74	0.41	NA	9946009
2105978	chr19	9960216	9960338	+	33	127	0.17	123	21.31	-2.25	0.16	NA	9960310
2106175	chr19	10196944	10197103	+	81	1425	0.35	160	6.93	-2.16	0.34	NA	10197044
2106184	chr19	10197795	10197948	+	31	53	0.23	154	0.65	-2.49	0.09	NA	10197837
2106217	chr19	10202867	10203018	+	46	81	0.09	152	7.69	-3.25	0.05	NA	10202963
2106245	chr19	10213632	10213776	+	48	222	0.16	145	-36.37	-2.72	0.15	NA	10213661
2106251	chr19	10215603	10215774	+	28	64	0.12	172	0.81	-2.36	0.09	NA	10215679
2106255	chr19	10215961	10216174	+	74	366	0.33	214	-48.08	-2.58	0.26	NA	10216010
2106264	chr19	10216934	10217209	+	111	3697	0.22	276	-34.03	-2.73	0.3	NA	10217036
2106265	chr19	10217237	10217499	+	87	588	0.12	263	-18.46	-3.11	0.21	NA	10217295
2106291	chr19	10221030	10221059	+	12	74	0.49	30	8.26	-0.3	0.36	NA	10221054
2106302	chr19	10222078	10222477	+	135	1490	0.22	400	-20.71	-2.84	0.32	NA	10222202
2106321	chr19	10224007	10224057	+	14	53	0.34	51	-0.79	-1	0.21	NA	10224039
2106512	chr19	10362590	10362703	+	46	339	0.19	114	2.03	-2.3	0.22	NA	10362657
2106514	chr19	10362854	10362963	+	53	1369	0.47	110	-11.57	-1.47	0.39	NA	10362888
2106558	chr19	10370634	10370674	+	9	55	0.6	41	9.36	0	0.37	NA	10370663
2106564	chr19	10380321	10380582	+	33	67	0.16	262	-32.38	-2.54	0.1	NA	10380446
2106578	chr19	10381677	10381877	+	61	6199	0.9	201	17.17	1.11	0.85	NA	10381794
2106654	chr19	10394236	10394439	+	45	86	0.08	204	-15.33	-3.15	0.06	NA	10394351
2106658	chr19	10394753	10394977	+	55	95	0.08	225	8.67	-3.46	0.06	NA	10394836
2106661	chr19	10395451	10395691	+	53	511	0.67	241	-13.31	-0.5	0.56	NA	10395545
2106665	chr19	10396066	10396157	+	28	61	0.21	92	-6.65	-2.36	0.09	NA	10396123
2106666	chr19	10396187	10396409	+	63	345	0.35	223	-28.63	-1.9	0.35	NA	10396262
2106841	chr19	10491450	10491600	+	41	76	0.12	151	9.71	-3.04	0.06	NA	10491501
2107008	chr19	10578474	10578526	+	15	77	0.27	53	6.61	-1.14	0.2	NA	10578513
2107114	chr19	10654566	10654609	+	20	84	0.17	44	-5.45	-1.86	0.11	NA	10654588
2107221	chr19	10713104	10713220	+	75	782	0.13	117	-9.37	-2.77	0.23	NA	10713139
2107290	chr19	10745407	10745544	+	36	92	0.11	138	3.01	-2.68	0.1	NA	10745469
2107348	chr19	10754654	10754767	+	35	61	0.1	114	-9.27	-2.83	0.06	NA	10754670
2107362	chr19	10764915	10765148	+	156	2550	0.09	234	-14.78	-3.52	0.24	NA	10765018
2107424	chr19	10781719	10781860	+	68	180	0.08	142	-1.39	-3.46	0.1	NA	10781823
2107426	chr19	10782039	10782185	+	48	168	0.14	147	-12.42	-2.8	0.14	NA	10782085
2107465	chr19	10794334	10794448	+	32	83	0.08	115	14.7	-2.7	0.06	NA	10794387
2107469	chr19	10795204	10795543	+	85	176	0.05	340	23.06	-4.06	0.05	NA	10795421
2107535	chr19	10802230	10802916	+	173	458	0.1	687	84.23	-4.4	0.14	NA	10802880
2107549	chr19	10812064	10812254	+	60	2405	0.42	191	-32.6	-0.73	0.54	NA	10812128
2107571	chr19	10817853	10818008	+	21	76	0.39	156	-18.38	-1.35	0.24	NA	10817852
2107595	chr19	10828629	10828837	+	62	1063	0.39	209	20.86	-1.69	0.38	NA	10828753
2107819	chr19	10935727	10935831	+	20	52	0.21	105	8.6	-1.87	0.1	NA	10935797
2107830	chr19	10940795	10941033	+	36	50	0.12	239	5.14	-2.93	0.05	NA	10940906
2107838	chr19	10941918	10942140	+	54	167	0.12	223	-11.03	-2.99	0.13	NA	10941935
2107842	chr19	10942455	10942533	+	39	638	0.53	79	-9.4	-0.79	0.47	NA	10942483
2107853	chr19	10952516	10952549	+	14	52	0.21	34	4.85	-1.25	0.15	NA	10952538
2107885	chr19	10978764	10978901	+	55	772	0.44	138	-11.55	-1.5	0.4	NA	10978821
2107896	chr19	10980265	10980405	+	23	57	0.39	141	10.58	-1.53	0.22	NA	10980353
2107903	chr19	10982150	10982257	+	21	53	0.42	108	30.97	-1.42	0.22	NA	10982255
2107955	chr19	11011789	11011794	+	4	90	0.66	6	-0.9	0.88	0.44	NA	11011788
2108015	chr19	11032498	11032685	+	46	101	0.21	188	-42.32	-2.87	0.12	NA	11032501
2108016	chr19	11032743	11032906	+	54	172	0.12	164	19.38	-3.12	0.11	NA	11032864
2108017	chr19	11032944	11033078	+	37	97	0.16	135	2.52	-2.58	0.12	NA	11033017
2108020	chr19	11033341	11033385	+	11	56	0.52	45	16.71	-0.12	0.39	NA	11033382
2108039	chr19	11039400	11039560	+	59	377	0.13	161	-12.64	-2.9	0.17	NA	11039469
2108088	chr19	11071611	11071830	+	118	875	0.19	220	-2.7	-3.16	0.25	NA	11071716
2108091	chr19	11072034	11072058	+	9	144	0.83	25	-4.06	1.02	0.69	NA	11072041
2108172	chr19	11105527	11105659	+	37	68	0.15	133	18.68	-2.81	0.08	NA	11105623
2108176	chr19	11106888	11107030	+	34	102	0.25	143	-28.09	-1.92	0.23	NA	11106904
2108207	chr19	11123613	11123711	+	21	58	0.22	99	29.24	-1.68	0.16	NA	11123699
2108234	chr19	11136093	11136158	+	14	63	0.54	66	-13.02	-0.44	0.36	NA	11136098
2108341	chr19	11170414	11170424	+	7	51	0.49	11	1.75	-0.06	0.27	NA	11170421
2108346	chr19	11172455	11172610	+	26	56	0.25	156	-16.98	-2.05	0.14	NA	11172517
2108351	chr19	11172884	11172920	+	12	74	0.61	37	-7.15	-0.17	0.39	NA	11172895
2108401	chr19	11200055	11200201	+	45	474	0.25	147	8.61	-1.89	0.29	NA	11200137
2108731	chr19	11457152	11457278	+	50	647	0.18	127	-4.15	-2.08	0.28	NA	11457205
2108789	chr19	11485321	11485411	+	41	399	0.6	91	-15.43	-0.83	0.47	NA	11485340
2108792	chr19	11485863	11485926	+	34	403	0.3	64	3.96	-1.73	0.27	NA	11485907
2108868	chr19	11546423	11546679	+	112	2554	0.14	257	-89.49	-2.64	0.32	NA	11546478
2108872	chr19	11546961	11546999	+	16	62	0.24	39	4.52	-1.39	0.15	NA	11546985
2108874	chr19	11547207	11547304	+	24	65	0.23	98	7.07	-1.85	0.16	NA	11547253
2108886	chr19	11552032	11552154	+	50	152	0.13	123	4.03	-3.09	0.1	NA	11552109
2108890	chr19	11553193	11553298	+	53	162	0.22	106	-1.31	-2.93	0.14	NA	11553226
2108900	chr19	11558240	11558402	+	64	306	0.19	163	37.08	-3.01	0.17	NA	11558368
2108923	chr19	11561646	11561752	+	13	50	0.52	107	22.98	-0.5	0.32	NA	11561725
2109005	chr19	11634552	11634591	+	10	55	0.27	40	-3.5	-0.84	0.14	NA	11634556
2109041	chr19	11670154	11670282	+	39	242	0.15	129	18.76	-2.33	0.18	NA	11670258
2109086	chr19	11708215	11708327	+	43	237	0.31	113	1.19	-2.23	0.22	NA	11708268
2109265	chr19	11877806	11877990	+	42	120	0.13	185	-28.69	-2.83	0.1	NA	11877843
2109333	chr19	11925053	11925106	+	16	62	0.21	54	0.45	-1.61	0.1	NA	11925060
2109431	chr19	12035863	12036013	+	74	947	0.43	151	-23.45	-1.68	0.41	NA	12035895
2109599	chr19	12098402	12098546	+	34	121	0.25	145	-3.48	-2.17	0.18	NA	12098457
2109809	chr19	12273843	12273999	+	38	140	0.21	157	-18.76	-2.17	0.21	NA	12273909
2109969	chr19	12435510	12435534	+	2	209	1	25	11.89	1.96	0.96	NA	12435533
2110096	chr19	12670361	12670378	+	11	211	0.64	18	0	0.18	0.47	NA	12670368
2110097	chr19	12670426	12670462	+	18	323	0.19	37	-10.59	-1.63	0.13	NA	12670430
2110099	chr19	12670628	12670676	+	16	243	0.19	49	4.47	-1.32	0.17	NA	12670657
2110101	chr19	12670769	12670783	+	13	422	0.6	15	0.87	0.03	0.47	NA	12670777
2110104	chr19	12670978	12671019	+	20	173	0.2	42	-6.23	-1.6	0.17	NA	12670979
2110105	chr19	12671120	12671143	+	16	250	0.34	24	2.13	-0.87	0.28	NA	12671133
2110134	chr19	12721705	12721862	+	82	4239	0.31	158	-32.36	-1.95	0.38	NA	12721748
2110148	chr19	12724860	12724962	+	25	218	0.53	103	-10.92	-0.49	0.46	NA	12724899
2110272	chr19	12777593	12777689	+	65	793	0.11	97	1.51	-2.82	0.2	NA	12777619
2110282	chr19	12780481	12780603	+	56	999	0.17	123	-0.8	-2.23	0.27	NA	12780536
2110396	chr19	12848281	12848382	+	34	575	0.45	102	-23.69	-1.03	0.4	NA	12848309
2110430	chr19	12859076	12859106	+	15	54	0.28	31	-10.31	-1.02	0.23	NA	12859075
2110441	chr19	12879771	12879773	+	3	53	0.91	3	-0.02	1.46	0.66	NA	12879771
2110484	chr19	12902286	12902365	+	19	2566	0.66	80	-26.69	0.59	0.67	NA	12902298
2110487	chr19	12902476	12902847	+	47	80	0.2	372	17.99	-2.97	0.1	NA	12902704
2110489	chr19	12902932	12903813	+	261	615	0.04	882	22.35	-5.4	0.08	NA	12903460
2110539	chr19	12917348	12917462	+	46	246	0.21	115	12.78	-2.24	0.23	NA	12917446
2110638	chr19	13001940	13002111	+	69	5292	0.45	172	-36.92	-0.68	0.56	NA	13001992
2110640	chr19	13002274	13002338	+	30	103	0.29	65	0.75	-2.09	0.17	NA	13002310
2110655	chr19	13004907	13004998	+	36	445	0.27	92	-9.8	-1.57	0.31	NA	13004936
2110700	chr19	13010717	13010760	+	9	51	0.24	44	5.44	-0.98	0.06	NA	13010753
2110752	chr19	13049355	13049566	+	71	23192	0.82	212	-37.99	0.87	0.82	NA	13049421
2110755	chr19	13049942	13049954	+	8	51	0.31	13	0.25	-0.55	0.15	NA	13049943
2110758	chr19	13050231	13050446	+	50	96	0.19	216	16.02	-3.1	0.1	NA	13050369
2110766	chr19	13051050	13051240	+	60	216	0.15	191	29.35	-2.89	0.17	NA	13051229
2110767	chr19	13051348	13051451	+	68	466	0.27	104	14.92	-2.57	0.25	NA	13051426
2110769	chr19	13051552	13051702	+	80	502	0.11	151	-14.45	-3.35	0.15	NA	13051683
2110781	chr19	13054343	13054426	+	41	549	0.23	84	-5.31	-2.16	0.22	NA	13054350
2110782	chr19	13054473	13054724	+	128	1490	0.45	252	-30.19	-2.23	0.4	NA	13054562
2110793	chr19	13055204	13055267	+	24	121	0.15	64	2.43	-2.02	0.12	NA	13055237
2110799	chr19	13056581	13056842	+	97	5091	0.24	262	-32.27	-1.9	0.41	NA	13056685
2110813	chr19	13058640	13058716	+	23	85	0.4	77	-3.8	-1.28	0.28	NA	13058660
2110847	chr19	13064357	13064432	+	27	108	0.23	76	-11.52	-1.87	0.19	NA	13064363
2110895	chr19	13094092	13094092	+	1	67	1	1	0	2	1	NA	13094091
2110928	chr19	13127830	13127960	+	35	179	0.2	131	17.89	-2.2	0.18	NA	13127939
2111036	chr19	13227610	13227739	+	44	218	0.13	130	-12.18	-2.62	0.15	NA	13227658
2111043	chr19	13228992	13229105	+	34	136	0.22	114	36.91	-2.08	0.2	NA	13229099
2111131	chr19	13250255	13250376	+	28	51	0.08	122	-11.28	-2.59	0.04	NA	13250259
2111134	chr19	13250492	13250546	+	23	102	0.19	55	-4.85	-1.97	0.12	NA	13250512
2111151	chr19	13251396	13251557	+	47	145	0.2	162	10.6	-2.62	0.17	NA	13251481
2111167	chr19	13261196	13261353	+	43	143	0.18	158	-12.3	-2.68	0.14	NA	13261257
2111182	chr19	13263002	13263101	+	19	56	0.23	100	-5.46	-1.51	0.17	NA	13263034
2111189	chr19	13263813	13264048	+	79	14349	0.61	236	-61.97	0.24	0.72	NA	13263867
2111190	chr19	13264076	13264302	+	41	79	0.1	227	27.62	-2.94	0.08	NA	13264132
2111192	chr19	13264391	13264476	+	23	54	0.13	86	-16.93	-2.25	0.06	NA	13264390
2111194	chr19	13264571	13265002	+	88	176	0.03	432	115.05	-4.17	0.04	NA	13264954
2111196	chr19	13265164	13265321	+	63	204	0.2	158	18.72	-3.05	0.16	NA	13265279
2111200	chr19	13265584	13265643	+	14	111	0.52	60	8.22	-0.52	0.34	NA	13265641
2111210	chr19	13267005	13267198	+	62	275	0.13	194	2.93	-2.89	0.18	NA	13267146
2111294	chr19	13322937	13322937	+	1	224	1	1	0	2	1	NA	13322936
2111628	chr19	13858653	13858784	+	47	504	0.25	132	15.5	-1.73	0.33	NA	13858735
2111685	chr19	13875295	13875412	+	45	551	0.36	118	3.57	-1.62	0.34	NA	13875373
2111734	chr19	13885216	13885374	+	93	12876	0.18	159	-18.14	-1.91	0.4	NA	13885285
2111735	chr19	13885460	13885498	+	15	74	0.62	39	-9.59	-0.28	0.42	NA	13885464
2111737	chr19	13885596	13885656	+	31	142	0.25	61	-1.25	-1.97	0.2	NA	13885615
2111746	chr19	13888865	13888908	+	22	50	0.2	44	0.98	-1.96	0.11	NA	13888885
2111999	chr19	14016954	14017196	+	85	651	0.16	243	-4.15	-3.07	0.21	NA	14017099
2112002	chr19	14020060	14020060	+	1	85	1	1	0	2	1	NA	14020059
2112086	chr19	14063264	14063422	+	53	693	0.17	159	-34.95	-2.45	0.22	NA	14063319
2112128	chr19	14073471	14073471	+	1	161	1	1	0	2	1	NA	14073470
2112210	chr19	14142490	14142665	+	116	6298	0.32	176	19.46	-1.36	0.51	NA	14142599
2112215	chr19	14143081	14143335	+	70	321	0.34	255	-58.73	-2.25	0.31	NA	14143116
2112295	chr19	14163185	14163350	+	35	74	0.12	166	8.99	-2.67	0.09	NA	14163214
2112296	chr19	14163441	14163454	+	7	63	0.41	14	1.42	-0.18	0.22	NA	14163447
2112305	chr19	14163916	14163997	+	26	71	0.15	82	-4.67	-2.12	0.12	NA	14163935
2112322	chr19	14181136	14181212	+	18	62	0.15	77	-0.84	-1.82	0.08	NA	14181177
2112326	chr19	14181475	14181500	+	18	57	0.18	26	-3.34	-1.77	0.1	NA	14181476
2112462	chr19	14247947	14248037	+	27	87	0.18	91	-12.07	-2.13	0.13	NA	14247984
2112642	chr19	14428865	14428867	+	3	59	0.64	3	0.42	0.72	0.19	NA	14428866
2112717	chr19	14491907	14492070	+	82	1022	0.12	164	5.18	-2.97	0.22	NA	14491984
2112718	chr19	14492099	14492330	+	100	1974	0.39	232	30.2	-2.05	0.39	NA	14492254
2112795	chr19	14512457	14512541	+	10	54	0.46	85	-5.44	-0.1	0.37	NA	14512493
2112798	chr19	14513395	14513459	+	12	57	0.75	65	-1.07	0.37	0.54	NA	14513421
2112830	chr19	14518703	14518770	+	27	66	0.3	68	14.97	-1.99	0.16	NA	14518763
2112838	chr19	14519370	14519458	+	18	81	0.37	89	15.93	-0.79	0.33	NA	14519427
2112884	chr19	14544081	14544198	+	29	87	0.23	118	-11.11	-2.18	0.14	NA	14544116
2112894	chr19	14551004	14551108	+	51	762	0.2	105	16.49	-2.03	0.29	NA	14551087
2112907	chr19	14554344	14554404	+	21	190	0.66	61	14.17	-0.13	0.51	NA	14554393
2113008	chr19	14600267	14600337	+	14	82	0.57	71	-3.45	-0.3	0.4	NA	14600293
2113010	chr19	14600444	14600506	+	16	655	0.49	63	9.11	-0.17	0.46	NA	14600473
2113052	chr19	14640325	14640471	+	70	4513	0.7	147	10.42	-0.33	0.62	NA	14640408
2113088	chr19	14672833	14672879	+	22	72	0.22	47	1.29	-1.65	0.18	NA	14672864
2113136	chr19	14693838	14694037	+	94	3927	0.2	200	-26.45	-2.23	0.36	NA	14693922
2113153	chr19	14698148	14698249	+	21	136	0.3	102	-36.45	-0.92	0.34	NA	14698153
